interaction_id,date,agent,channel,country,contact_reason,resolution,aht_seconds,csat,satisfaction,week,csat_positive,dsat
INT-0548,2026-07-01,Agent 010,Call,Spain,Refund Request,Resolved,877,4,Satisfied,27,1,0
INT-0915,2026-07-01,Agent 014,Chat,Portugal,Late Delivery,Resolved,535,5,Satisfied,27,1,0
INT-0064,2026-07-01,Agent 001,Email,Italy,Missing Items,Resolved,289,3,Neutral,27,0,0
INT-0060,2026-07-01,Agent 001,Chat,Spain,Late Delivery,Resolved,450,4,Satisfied,27,1,0
INT-0479,2026-07-01,Agent 004,Chat,Spain,Order Status,Resolved,409,5,Satisfied,27,1,0
INT-0896,2026-07-01,Agent 011,Call,Spain,Order Status,Resolved,515,4,Satisfied,27,1,0
INT-0946,2026-07-01,Agent 008,Call,Spain,Missing Items,Resolved,930,5,Satisfied,27,1,0
INT-0638,2026-07-01,Agent 006,Chat,Spain,Order Cancellation,Not Resolved,553,3,Neutral,27,0,0
INT-0041,2026-07-01,Agent 008,Chat,Spain,Refund Request,Resolved,863,3,Neutral,27,0,0
INT-0442,2026-07-01,Agent 010,Chat,Spain,Account Issue,Resolved,400,4,Satisfied,27,1,0
INT-0198,2026-07-01,Agent 017,Chat,Spain,Account Issue,Partially Resolved,467,4,Satisfied,27,1,0
INT-0653,2026-07-01,Agent 008,Email,Spain,Refund Request,Resolved,407,3,Neutral,27,0,0
INT-0549,2026-07-01,Agent 006,Chat,Spain,Missing Items,Resolved,398,4,Satisfied,27,1,0
INT-0933,2026-07-01,Agent 020,Chat,Portugal,Delivery Instructions,Partially Resolved,618,2,Dissatisfied,27,0,1
INT-0862,2026-07-02,Agent 004,Chat,Portugal,Refund Request,Resolved,758,4,Satisfied,27,1,0
INT-0606,2026-07-02,Agent 016,Chat,Italy,Missing Items,Partially Resolved,585,3,Neutral,27,0,0
INT-0644,2026-07-02,Agent 014,Call,Portugal,Refund Request,Resolved,446,2,Dissatisfied,27,0,1
INT-0452,2026-07-02,Agent 002,Email,Spain,Wrong Order,Resolved,499,3,Neutral,27,0,0
INT-0723,2026-07-02,Agent 012,Call,Spain,Payment Issue,Resolved,438,2,Dissatisfied,27,0,1
